Label:,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158
11.[B12] prr79 LHY,2.587079931,2.373554928,2.172346051,2.025073057,1.950501068,1.920415482,1.881040654,1.836151886,1.817792146,1.840557762,1.882667856,1.968158196,2.123130989,2.330821981,2.536435057,2.601500691,2.498894805,2.379198948,2.278526132,2.206089429,2.167865628,2.152793052,2.117698641,2.102287104,2.134432729,2.156858747,2.188004742,2.290732735,2.468989377,2.623418566,2.716828024,2.711273497,2.602997364,2.472888649,2.403049159,2.356862784,2.293057923,2.286963717,2.27302745,2.256810393,2.284841449,2.317836968,2.380915522,2.503339205,2.651809672,2.720921883,2.7090713,2.642850855,2.548251245,2.462699552,2.381253868,2.305525215,2.25052718,2.215013423,2.198782228,2.191030676,2.188239224,2.227026632,2.31006301,2.40558042,2.466966024,2.461026558,2.392478189,2.295713753,2.212031021,2.156666403,2.110386994,2.060541437,2.017710388,1.991261872,1.984965503,1.993170165,2.009000653,2.045987998,2.112431894,2.185076663,2.212606993,2.167216338,2.07525589,1.985110252
12.[B13] prr79 LHY,1.934203595,1.734663763,1.523104478,1.321843406,1.152619295,1.017936856,0.930584973,0.874513381,0.812155096,0.762832824,0.749829841,0.775674214,0.815090647,0.867788551,0.967488701,1.151555132,1.338473861,1.432998597,1.391883286,1.263668765,1.121296652,1.019465704,0.96317358,0.91212864,0.858056517,0.836961236,0.832462601,0.850251278,0.900077345,0.941906563,1.00991528,1.14278234,1.308534473,1.417102208,1.422274289,1.348657898,1.247526068,1.153181204,1.074967865,1.005361782,0.963561129,0.955179379,0.954889722,0.950397895,0.951959091,0.984315647,1.065928322,1.188625393,1.317442005,1.400206678,1.404679553,1.339035706,1.248447008,1.178334958,1.12088786,1.059157275,1.030972093,1.015975875,0.999871298,1.008368415,1.017144655,1.025388649,1.067568859,1.170647411,1.298562894,1.383916332,1.381967193,1.323922102,1.251771898,1.18233859,1.116972063,1.067638616,1.043251004,1.023036858,1.007710116,1.004279199,1.010533124,1.0287882,1.062061769,1.11718297
13.[B14] prr79 LHY,1.794854363,1.596063353,1.382436881,1.172045354,1.009298529,0.910338456,0.853854421,0.805906738,0.768507485,0.750011799,0.754771593,0.788167794,0.887836881,1.054656142,1.256063493,1.469137445,1.560898161,1.468217228,1.312741616,1.178195153,1.087907885,1.02462416,0.969611767,0.923686721,0.901529126,0.913222806,0.926220566,0.944392227,1.009270182,1.145915445,1.33643673,1.511668626,1.578954728,1.538611088,1.431382891,1.303992011,1.189492617,1.117340873,1.080058818,1.037804311,1.025515367,1.041629858,1.060909442,1.109387329,1.173986447,1.265341208,1.421826255,1.538354731,1.56326354,1.512391791,1.3919185,1.258336516,1.157857317,1.088836566,1.044070693,1.027006226,1.029436645,1.007433332,0.992323758,1.01887752,1.081265557,1.184668438,1.304800004,1.391760367,1.402930274,1.350055404,1.264056478,1.171452694,1.102026742,1.042438581,0.977626824,0.949596361,0.93003156,0.911199929,0.930740654,0.946739017,0.985508118,1.096405712,1.236265998,1.32550897
14.[B15] prr79 LHY,1.580244506,1.42292112,1.2483183,1.047676255,0.865628667,0.749218727,0.702375331,0.652427209,0.595927007,0.577096459,0.591753802,0.612868777,0.649027897,0.761641966,0.949991644,1.160518496,1.308110028,1.315938753,1.21281338,1.075104805,0.937959947,0.823602031,0.747649698,0.713727332,0.694904099,0.691844991,0.71421583,0.725086861,0.738735905,0.800293907,0.940128285,1.120162067,1.270306811,1.323313286,1.259370725,1.147804673,1.061443341,0.970188582,0.89927437,0.867783771,0.845549317,0.814158131,0.788986289,0.793404373,0.804471648,0.848999765,0.959222524,1.11231172,1.263415368,1.339526354,1.280668622,1.165452351,1.050178143,0.951224973,0.885778003,0.84171017,0.805721595,0.782887736,0.769207192,0.767879272,0.789241265,0.836206839,0.933891317,1.082874213,1.20989364,1.259794244,1.218253213,1.11440642,1.002259377,0.916582503,0.862888428,0.825480524,0.792986424,0.770520588,0.776018307,0.789863666,0.810873774,0.861211662,0.931090588,1.022729352
15.[B16] prr79 LHY,2.469076247,2.243235579,2.048155409,1.889364391,1.766011944,1.717509837,1.699158417,1.674459055,1.655544726,1.673896529,1.70895065,1.775675281,1.945733902,2.220614287,2.395807507,2.423319353,2.329771448,2.173635293,2.035548117,1.926474981,1.860562616,1.843761665,1.845168578,1.817081062,1.800836517,1.824843233,1.897190093,2.06410628,2.251730633,2.377280105,2.38973884,2.287588765,2.181314483,2.080161734,1.995985775,1.970994703,1.929950747,1.903369061,1.902745188,1.913338261,1.974408193,2.069302089,2.206408652,2.367914436,2.45951514,2.410437527,2.286976107,2.153491912,2.025278044,1.959653078,1.926468422,1.887695092,1.844781204,1.824522518,1.832522748,1.874936394,1.962725025,2.095465641,2.229389782,2.26597396,2.190926723,2.083614202,1.988158162,1.904097548,1.830566437,1.781722245,1.770359904,1.773682352,1.782332567,1.805825661,1.860264953,1.957765141,2.097068096,2.207891564,2.214244941,2.14750715,2.041006669,1.943589148,1.881768845,1.832385457
16.[B17] prr79 LHY,2.416017548,2.190792717,1.959793079,1.78140347,1.692337302,1.660289516,1.630839711,1.628502917,1.629629515,1.618807069,1.656598279,1.782266583,1.971666151,2.188548999,2.336583079,2.278345384,2.161713628,2.035858621,1.917809832,1.856554745,1.833399873,1.827726504,1.818831779,1.81929219,1.864210575,1.929319614,2.055862642,2.237443386,2.386094035,2.412960727,2.321477439,2.188583886,2.08467207,2.029407688,2.005531283,1.978628562,1.964794271,1.977611067,1.990562198,2.012112443,2.066453657,2.185984239,2.343537284,2.422698708,2.384305958,2.298435754,2.204129058,2.104044896,2.067527344,2.024764124,1.979649365,1.956348403,1.928421715,1.937803104,1.973424644,2.028222339,2.113474115,2.209634644,2.236338885,2.176293837,2.085167945,2.018437223,1.960789236,1.911210735,1.878915285,1.852061344,1.816499376,1.820975344,1.837883341,1.858299913,1.913598833,2.004077505,2.049474438,2.021762975,1.95154798,1.877380274,1.807864971,1.760854427,1.726655032,1.69799251
17.[B18] WT PRR9,1.076686401,0.955267453,0.826206546,0.693922283,0.579104062,0.495579658,0.434596766,0.363610124,0.283657677,0.218512509,0.185814292,0.172593466,0.174078512,0.196326482,0.22986626,0.258703735,0.282128408,0.317769518,0.356379954,0.37459735,0.365118244,0.35927054,0.334296414,0.288721298,0.266982141,0.268718273,0.282653066,0.298878595,0.312779629,0.335595035,0.375113081,0.418321057,0.425036313,0.41780383,0.420534314,0.403555294,0.387317613,0.388776444,0.404226531,0.426970218,0.455143187,0.487679365,0.519868327,0.543380033,0.559933387,0.566187252,0.536483325,0.500157383,0.488671551,0.495483183,0.48286797,0.459996458,0.449726105,0.438761377,0.454007434,0.493247821,0.514807097,0.505402366,0.47738345,0.452866857,0.444024811,0.429840956,0.408269725,0.39456228,0.38229016,0.382982982,0.400045258,0.416008004,0.436848956,0.46043135,0.469414567,0.446057383,0.422583898,0.413230212,0.395046491,0.382584948,0.379175417,0.382541431,0.401151636,0.418355794
18.[B19] WT PRR9,1.422284836,1.281392132,1.138584457,1.032278349,0.944364922,0.838640009,0.751537783,0.703839366,0.667631881,0.601839989,0.573238149,0.58052275,0.590631364,0.619795124,0.631843324,0.631106922,0.662554941,0.704140324,0.753154047,0.799298646,0.801564088,0.771025579,0.741255401,0.728317635,0.70134568,0.695176625,0.722314785,0.733882022,0.748001997,0.770321229,0.787767418,0.798733248,0.813220542,0.819296441,0.792901493,0.766488192,0.746629291,0.724992243,0.711403983,0.721577325,0.739806351,0.73821572,0.742320411,0.766285859,0.797139025,0.806475372,0.801277359,0.786720428,0.765123591,0.754832235,0.762007579,0.774538423,0.775824513,0.785753191,0.805101615,0.824547213,0.849763192,0.860766361,0.844849668,0.813600155,0.79198671,0.787197921,0.791190335,0.794989738,0.809112203,0.821480902,0.816524425,0.833410953,0.860007765,0.872826198,0.874493843,0.860646295,0.835536811,0.808560032,0.783450192,0.778577521,0.786567467,0.778317114,0.781699976,0.792402564
19.[B20] WT PRR9,1.691166995,1.555800488,1.425676456,1.326245897,1.265631741,1.213376148,1.156114187,1.11380474,1.085655561,1.079896898,1.088866483,1.087966712,1.08024483,1.092534018,1.134054478,1.186650454,1.237977857,1.273088085,1.296528601,1.316725904,1.298227869,1.256420871,1.217717552,1.195041212,1.202263423,1.212378013,1.228195136,1.282204122,1.355332158,1.412222584,1.436364373,1.431775774,1.39983997,1.351608533,1.320067001,1.330842036,1.354180411,1.371555217,1.377548046,1.388644592,1.443977457,1.49373945,1.511506629,1.515069072,1.500196021,1.467841007,1.437618989,1.428293948,1.428620694,1.435829861,1.436596871,1.42741877,1.443210359,1.466705986,1.475344045,1.461541946,1.426179959,1.389869001,1.366801875,1.350330548,1.321943686,1.302922066,1.299877424,1.301774062,1.308285046,1.322953083,1.323901137,1.291564129,1.2496948,1.225163163,1.202859753,1.162464498,1.130223918,1.125916197,1.131391354,1.125547733,1.125066081,1.136793281,1.144863062,1.132355302
20.[B21] WT PRR9,1.179890247,1.001755527,0.830493354,0.698657967,0.617201828,0.54692921,0.469122528,0.405877423,0.365989356,0.343144097,0.319418937,0.293827879,0.310611401,0.355948141,0.384741386,0.389604678,0.44096517,0.514833748,0.547745194,0.513991661,0.461317221,0.411844657,0.388744975,0.395276283,0.392539239,0.413621213,0.438949708,0.444058805,0.484287229,0.545401501,0.597765638,0.608210112,0.557021195,0.533550394,0.53565069,0.52432446,0.51802061,0.500107409,0.495876582,0.517705785,0.533022569,0.571461162,0.594118506,0.56504049,0.521458612,0.507458419,0.513232263,0.501938333,0.468942936,0.482256173,0.494704234,0.495317254,0.546193049,0.587880838,0.581998823,0.559446725,0.561372708,0.529930691,0.49101642,0.467099515,0.444983791,0.438455727,0.454621695,0.489357696,0.529684828,0.559960801,0.580028451,0.589930491,0.58345563,0.557669449,0.538141902,0.528377054,0.516373982,0.509750472,0.511270699,0.513680209,0.524701409,0.570189026,0.591006633,0.566454765
